Channel Name,Channel ID,Category
Jelly,UC0DZmkupLYwc0yDsfocLh0A,GAMING
Ali-A,UCYVinkwSX7szARULgYpvhLw,GAMING
PopularMMOs,UCpGdL9Sn3Q5YWUH2DVUW1Ug,GAMING
FGTeeV,UCC-RHF_77zQdKcA75hr5oTQ,GAMING
5-Minute Crafts,UC295-Dw_tDNtZXFeAPAW6Aw,HOW TO & STYLE
Troom Troom,UCWwqHwqLSrdWMgp5DZG5Dzg,HOW TO & STYLE
Tasty,UCJFp8uSYCjXOMnkUyb3CQ3Q,HOW TO & STYLE
5-Minute Crafts GIRLY,UC2etEuPIfohP4P53wM0KImA,HOW TO & STYLE
5-Minute Crafts PLAY,UC57XAjJ04TY8gNxOWf-Sy0Q,HOW TO & STYLE
jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,HOW TO & STYLE
HowToBasic,UCR4s1DE9J4DHzZYXMltSMAg,HOW TO & STYLE
Chloe Ting,UCCgLoMYIyP0U56dEhEL1wXQ,HOW TO & STYLE
Crafty Panda,UC03RvJoIhm_fMwlUpm9ZvFw,HOW TO & STYLE
NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,HOW TO & STYLE
LooLoo Kids - Nursery Rhymes and Children's Songs,UC4NALVCmcmL5ntpV0thoH6w,MADE FOR KIDS
BST Kids - Nursery Rhymes & Songs,UCRx3mKNUdl8QE06nEug7p6Q,MADE FOR KIDS
Baby Doli - ToyPudding,UCKqx9r4mrFglauNBJc1L_eg,MADE FOR KIDS
Toys and Colors,UCgFXm4TI8htWmCyJ6cVPG_A,MADE FOR KIDS
Mister Max,UC_8PAD0Qmi6_gpe77S1Atgg,MADE FOR KIDS
Miss Katy,UCcartHVtvAUzfajflyeT_Gg,MADE FOR KIDS
Sesame Street,UCoookXUzPciGrEZEXmh4Jjg,MADE FOR KIDS
Bounce Patrol - Kids Songs,UC56cowXhoqRWHeqfSJkIQaA,MADE FOR KIDS
Little Angel: Nursery Rhymes & Kids Songs,UCNzsYU0aWwjERj-9Y9HUEng,MADE FOR KIDS
Gaby and Alex,UCHwBjRoGO1V-H8QYXjSVHkQ,MADE FOR KIDS
Justin Bieber,UCIwFjwMjI0y7PDBVEO9-bkQ,MUSIC
Marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,MUSIC
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,MUSIC
Ed Sheeran,UC0C-w0YjGpqDXGB8IHb662A,MUSIC
EminemMusic,UCfM3zsQsOnfWNUppiycmBuw,MUSIC
Ariana Grande,UC9CoOnJkIBMdeijd9qYoT_g,MUSIC
Taylor Swift,UCqECaJ8Gagnn7YCbPEzWH6g,MUSIC
Alan Walker,UCJrOtniJ0-NWz37R30urifQ,MUSIC
Billie Eilis,UCiGm_E4ZwYSHV3bcW1pnSeQ,MUSIC
One Direction,UCb2HGwORFBo94DmRx4oLzow,MUSIC
CNN,UCupvZG-5ko_eiXAupbDfxWw,NEWS & POLITICS
ABC news,UCBi2mrWuNuyYy4gbM6fU18Q,NEWS & POLITICS
BBC news,UC16niRr50-MSBwiO3YDb3RA,NEWS & POLITICS
NBC News,UCeY0bbntWzzVIaj2z3QigXg,NEWS & POLITICS
Global News,UChLtXXpo4Ge1ReTEboVvTDg,NEWS & POLITICS
CBS News,UC8p1vwvWtl6T73JiExfWs1g,NEWS & POLITICS
NowThis News,UCn4sPeUomNGIr26bElVdDYg,NEWS & POLITICS
AP Archive ,UCHTK-2W11Vh1V4uwofOfR4w,NEWS & POLITICS
VOA News,UCVSNOxehfALut52NbkfRBaA,NEWS & POLITICS
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,NEWS & POLITICS
TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,NONPROFIT & ACTIVISM
THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,UCdNjexbIS_NKJC4ZRwKf9ag,NONPROFIT & ACTIVISM
Transformation Church,UCYv-siSKd3Gn9IsliO95gIw,NONPROFIT & ACTIVISM
planetshakerstv,UC3z9rRoiie3RXzhUxv1Bdqw,NONPROFIT & ACTIVISM
Global Citizen,UCg3_C7BwcV0kBlJbBFHTPJQ,NONPROFIT & ACTIVISM
Jace Norman,UCBP4B896svWOcWdRp8UjH2Q,NONPROFIT & ACTIVISM
MotivationGrid,UCB7BryuXaMe1pUMznYAq4Jg,NONPROFIT & ACTIVISM
Jeff & Alyssa,UCc4yillQaNo6a-iG2PYbbrA,NONPROFIT & ACTIVISM
Invisible People,UCh4pyZUB0mNzieaKv831flA,NONPROFIT & ACTIVISM
World Health Organization (WHO),UC07-dOwgza1IguKA86jqxNA,NONPROFIT & ACTIVISM
Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,PEOPLE & BLOGS
BuzzFeedVideo,UCpko_-a4wgz2u_DgDgd9fqA,PEOPLE & BLOGS
The Ace Family,UCWwWOFsW68TqXE-HZLC3WIA,PEOPLE & BLOGS
David Dobrik,UCmh5gdwCx6lN7gEC20leNVA,PEOPLE & BLOGS
Lady Gaga,UCNL1ZadSjHpjm4q9j2sVtOA,PEOPLE & BLOGS
Roman Atwood Vlogs,UC-SV8-bUJfXjrRMnp7F8Wzw,PEOPLE & BLOGS
Super Polina,UCE76CBkDX591pxzps6bySOw,PEOPLE & BLOGS
The LaBrant Fam,UC4-CH0epzZpD_ARhxCx6LaQ,PEOPLE & BLOGS
CaseyNeistat,UCtinbF-Q-fVthA0qrFQTgXQ,PEOPLE & BLOGS
Jason Vlogs,UCjmAh2qxmvWdH3xNPbg0IUQ,PEOPLE & BLOGS
Brave Wilderness,UC6E2mP01ZLH_kbAyeazCNdg,PETS & ANIMALS
Maymo,UCC7tqA6lA2QRw4BdrAEKFxg,PETS & ANIMALS
Joey Graceffa,UCS_BD8cjFA8juZogPH5hEjg,PETS & ANIMALS
BBC Earth,UCwmZiChSryoWQCZMIQezgTg,PETS & ANIMALS
The Dodo,UCINb0wqPz-A0dV9nARjJlOQ,PETS & ANIMALS
"Animal Aid Unlimited, India",UC4kyYTypYb3mQ6ZL25kly6g,PETS & ANIMALS
Hope For Paws - Offical Rescue Channel,UCdu8QrpJd6rdHU9fHl8J01A,PETS & ANIMALS
funnyplox,UCVUdHi-tdW5AKdzMiTPG97Q,PETS & ANIMALS
AaronsAnimals,UCNo5PGwGmfnEprEUUb9AGgw,PETS & ANIMALS
Life of Sammie & Summer,UCI8FQkQ-Iv73GZcsJ-6pNWw,PETS & ANIMALS
HaerteTest,UCqsS8fU6yVxrJr5y_CoUn3w,SCIENCE & TECHNOLOGY
TED,UCAuUUnT6oDeKwE6v1NGQxug,SCIENCE & TECHNOLOGY
Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,SCIENCE & TECHNOLOGY
Vsauce,UC6nSFpj9HTCZ5t-N3Rm3-HA,SCIENCE & TECHNOLOGY
Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,SCIENCE & TECHNOLOGY
Apple,UCE_M8A5yxnLfW0KghEeajjw,SCIENCE & TECHNOLOGY
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,SCIENCE & TECHNOLOGY
Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,SCIENCE & TECHNOLOGY
CrazyRussianHacker,UCe_vXdMrHHseZ_esYUskSBw,SCIENCE & TECHNOLOGY
Primitive Technology,UCAL3JXZSzSm8AlZyD3nQdBA,SCIENCE & TECHNOLOGY
WWE,UCJ5v_MCY6GNUBTO8-D3XoAg,SPORTS
Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,SPORTS
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,SPORTS
F2Freestylers - Ultimate Soccer Skills Channel,UCKvn9VBLAiLiYL4FFJHri6g,SPORTS
DALLMYD,UCI4fHQkguBNW3SwTqmehzjw,SPORTS
FC Barcelona,UC14UlmYlSNiQCBe9Eookf_A,SPORTS
UFC - Ultimate Fighting Championship,UCvgfXK4nTYKudb0rFR6noLA,SPORTS
Red Bull,UCblfuW_4rakIf2h6aqANefA,SPORTS
GoPro,UCqhnX4jA0A5paNd1v-zEysw,SPORTS
BT Sport,UC4i_9WvfPRTuRWEaWyfKuFw,SPORTS
Mark Wiens,UCyEd6QBSgat5kkC6svyjudA,TRAVEL
Travel Thirsty,UCHKVXtT1YBCYUnnr4apqXfg,TRAVEL
Best Ever Food Review Show,UCcAd5Np7fO8SeejB1FVKcYw,TRAVEL
The Food Ranger,UCiAq_SU0ED1C6vWFMnw8Ekg,TRAVEL
Strictly Dumpling,UCXOKEdfOFxsHO_-Su3K8SHg,TRAVEL
Food Insider,UCwiTOchWeKjrJZw7S1H__1g,TRAVEL
Sam Chui,UCfYCRj25JJQ41JGPqiqXmJw,TRAVEL
bald and bankrupt,UCxDZs_ltFFvn0FDHT6kmoXA,TRAVEL
FUNG BROS.,UC9avFXTdbSo5ATvzTRnAVFg,TRAVEL
Drew Binsky,UC0Ize0RLIbGdH5x4wI45G,TRAVEL
